,keyword_0,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,keyword_6,keyword_7,keyword_8,keyword_9
topic_0,profesionales,servicios profesionales,servicios,prestacion servicios,prestacion,prestar servicios,prestar,general,profesionales apoyo,secretaria
topic_1,auxiliar administrativo,administrativo,auxiliar,servicios auxiliar,administrativo area,prestacion,prestacion servicios,servicios,facturacion,hospital
topic_2,servicios apoyo,apoyo gestion,gestion,apoyo,prestacion servicios,prestacion,servicios,municipio,secretaria,municipal
topic_3,suministro,materiales,suministro medicamentos,elementos,medicamentos,papeleria,suministro materiales,suministro elementos,insumos,suministro material
topic_4,auxiliar enfermeria,enfermeria,auxiliar,servicios auxiliar,enfermeria hospital,prestacion,prestacion servicios,servicios,hospital,gestion auxiliar
topic_5,universitario,profesional universitario,hospital universitario,universitario julio,barreneche,julio mendez,mendez barreneche,mendez,profesional,julio
topic_6,presente,presente contrato,contrato,objeto,objeto presente,contrato prestacion,parte,contratista,integral presente,parte integral
topic_7,salud trabajo,seguridad salud,trabajo,seguridad,gestion seguridad,sistema gestion,salud,sistema,gestion,implementacion
topic_8,juridica,asesora,oficina asesora,oficina,asesoria juridica,asesoria,profesionales,servicios profesionales,asesora juridica,servicios
topic_9,institucion educativa,educativa,institucion,sede,suministro,municipio,mantenimiento,sedes,estudiantes,servicio
topic_10,infancia,primera infancia,primera,integral primera,integral,atencion,ninas,ninos,atencion integral,ninos ninas
topic_11,autonomia,propios medios,propios,plena,medios,administrativa,plena autonomia,autonomia tecnica,tecnica administrativa,tecnica
topic_12,formacion,temporal,caracter temporal,caracter,personales caracter,formacion profesional,personales,servicios personales,centro,instructor
topic_13,rural,zona,urbana,rural municipio,municipio,zona urbana,urbana rural,zona rural,urbana municipio,area urbana
topic_14,ciudadana,convivencia,convivencia ciudadana,seguridad,seguridad convivencia,secretaria,seguridad ciudadana,ciudadana municipio,metroparques,convivencia seguridad
topic_15,necesidades institucion,procedimientos,integrada,procedimientos subred,salud acuerdo,acuerdo necesidades,integrada servicios,dentro,subred,subred integrada
topic_16,salud,servicios,centro salud,enfermeria,auxiliar,centro,prestacion,prestacion servicios,auxiliar enfermeria,hospital
topic_17,medico,material medico,medico quirurgico,quirurgico,material,medico general,general,suministro material,compra,suministro
topic_18,compra,medicamentos,compra medicamentos,material,entrada compra,entrada,laboratorio,material laboratorio,material osteosintesis,osteosintesis
topic_19,combustible,suministro combustible,vehiculos,suministro,parque automotor,automotor,propiedad,parque,maquinaria,propiedad municipio
topic_20,logistico,apoyo logistico,apoyo,logistico realizacion,municipio,realizacion,servicios apoyo,servicios,prestacion,actividades
topic_21,brindar,brindar apoyo,apoyo,profesionales brindar,profesionales,servicios profesionales,servicios,prestacion servicios,prestacion,acompanamiento
topic_22,adquisicion,adquisicion elementos,elementos,municipio,equipos,contratar adquisicion,adquisicion equipos,adquisicion insumos,poliza,insumos
